"id","date","treasure_g","site"
"M006",2015-01-01,328.227498975335,"Diagon Alley"
"M007",2015-01-01,333.666559871775,"Diagon Alley"
"M017",2015-01-01,658.483282986749,"Diagon Alley"
"F019",2015-01-01,NA,"Diagon Alley"
"M023",2015-01-01,82.6609332360924,"Diagon Alley"
"M002",2015-01-01,1082.61950905767,"Forbidden Forest"
"M003",2015-01-01,177.704529954251,"Forbidden Forest"
"M005",2015-01-01,NA,"Forbidden Forest"
"F011",2015-01-01,73.3743632761844,"Forbidden Forest"
"F013",2015-01-01,172.297538972405,"Forbidden Forest"
"M016",2015-01-01,90.5546920778819,"Forbidden Forest"
"M021",2015-01-01,103.6240979435,"Forbidden Forest"
"M001",2015-01-01,181.283885275715,"Gringotts"
"F004",2015-01-01,553.506493898377,"Gringotts"
"F008",2015-01-01,NA,"Gringotts"
"M009",2015-01-01,1373.03750165488,"Gringotts"
"M012",2015-01-01,14267.3635047792,"Gringotts"
"M014",2015-01-01,45.3316757733058,"Gringotts"
"M015",2015-01-01,194.914580379366,"Gringotts"
"M018",2015-01-01,398.594605126593,"Gringotts"
"F020",2015-01-01,828.051633595461,"Gringotts"
"F010",2015-01-01,1559.60976925509,"Hogsmeade"
"M022",2015-01-01,214.747692225016,"Hogsmeade"
"F024",2015-01-01,123.828276764655,"Hogsmeade"
"M006",2015-01-08,293.742349009769,"Diagon Alley"
"M007",2015-01-08,530.219181462729,"Diagon Alley"
"M017",2015-01-08,993.346291957931,"Diagon Alley"
"F019",2015-01-08,233.544792340701,"Diagon Alley"
"M023",2015-01-08,105.085695871199,"Diagon Alley"
"M002",2015-01-08,482.604477229321,"Forbidden Forest"
"M003",2015-01-08,479.761234231808,"Forbidden Forest"
"M005",2015-01-08,111.223131534851,"Forbidden Forest"
"F011",2015-01-08,45.7980245076581,"Forbidden Forest"
"F013",2015-01-08,241.087035266137,"Forbidden Forest"
"M016",2015-01-08,40.0597416657773,"Forbidden Forest"
"M021",2015-01-08,179.833310557514,"Forbidden Forest"
"M001",2015-01-08,111.664311534575,"Gringotts"
"F004",2015-01-08,480.075794735183,"Gringotts"
"F008",2015-01-08,234.577891665962,"Gringotts"
"M009",2015-01-08,1484.65531114264,"Gringotts"
"M012",2015-01-08,4418.6277606846,"Gringotts"
"M014",2015-01-08,81.7693289809046,"Gringotts"
"M015",2015-01-08,452.109494680411,"Gringotts"
